DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Belgium,2014,8.5,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Belgium,2015,8.5,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Belgium,2016,7.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Belgium,2017,7.1,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Belgium,2018,6.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Belgium,2019,5.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Belgium,2020,5.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Belgium,2021,6.3,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Belgium,2022,5.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Belgium,2023,5.5,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Belgium,2024,5.7,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Bulgaria,2013,13.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Bulgaria,2014,11.4,,
