DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area - 19 countries  (2015-2022),2022,144.49,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area - 19 countries  (2015-2022),2023,141.33,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area - 19 countries  (2015-2022),2024,143.33,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 20 countries (2023-2025),2013,97.60,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 20 countries (2023-2025),2014,97.87,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 20 countries (2023-2025),2015,99.29,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 20 countries (2023-2025),2016,103.33,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 20 countries (2023-2025),2017,108.05,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 20 countries (2023-2025),2018,113.32,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 20 countries (2023-2025),2019,118.31,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 20 countries (2023-2025),2020,124.59,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 20 countries (2023-2025),2021,134.88,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 20 countries (2023-2025),2022,144.57,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Euro area – 20 countries (2023-2025),2023,141.59,,
